series,Store,Dept,model_used,week_ahead,forecast_date,forecast_value,forecast_low,forecast_high
S01_D06,1,6,global_gbm,4,2024-01-21,46696.65,43319.58,49629.04
S01_D06,1,6,global_gbm,5,2024-01-28,45344.12,42895.17,48515.76
S01_D06,1,6,global_gbm,6,2024-02-04,62338.2,55352.08,66496.76
S01_D06,1,6,global_gbm,7,2024-02-11,63942.3,56009.97,66491.27
S01_D06,1,6,global_gbm,8,2024-02-18,50338.0,44707.56,58155.81
S01_D07,1,7,global_gbm,1,2023-12-31,60129.19,47891.82,60129.19
S01_D07,1,7,global_gbm,2,2024-01-07,52238.87,45880.35,56298.66
S01_D07,1,7,global_gbm,3,2024-01-14,52751.01,48077.68,56698.26
S01_D07,1,7,global_gbm,4,2024-01-21,54248.01,48483.81,56414.05
S01_D07,1,7,global_gbm,5,2024-01-28,53593.28,47059.0,55817.47
S01_D07,1,7,global_gbm,6,2024-02-04,62683.82,55784.8,67440.4
S01_D07,1,7,global_gbm,7,2024-02-11,65651.5,58760.46,68987.91
S01_D07,1,7,global_gbm,8,2024-02-18,57355.64,50070.33,60272.24
S01_D08,1,8,seasonal_naive,1,2023-12-31,9847.12,8819.16,10875.08
S01_D08,1,8,seasonal_naive,2,2024-01-07,11343.26,10315.3,12371.22
S01_D08,1,8,seasonal_naive,3,2024-01-14,10727.67,9699.71,11755.63
S01_D08,1,8,seasonal_naive,4,2024-01-21,11105.07,10077.11,12133.03
S01_D08,1,8,seasonal_naive,5,2024-01-28,10653.81,9625.85,11681.77
S01_D08,1,8,seasonal_naive,6,2024-02-04,10921.31,9893.35,11949.27
S01_D08,1,8,seasonal_naive,7,2024-02-11,12014.08,10986.12,13042.04
S01_D08,1,8,seasonal_naive,8,2024-02-18,9747.04,8719.08,10775.0
S01_D09,1,9,global_gbm,1,2023-12-31,35481.51,34130.74,46700.42
S01_D09,1,9,global_gbm,2,2024-01-07,33334.52,30449.93,34979.67
S01_D09,1,9,global_gbm,3,2024-01-14,33362.51,30465.99,35300.29
S01_D09,1,9,global_gbm,4,2024-01-21,34385.86,31396.91,36701.14
S01_D09,1,9,global_gbm,5,2024-01-28,35657.88,32935.35,40065.9
S01_D09,1,9,global_gbm,6,2024-02-04,41512.23,37842.22,44941.38
S01_D09,1,9,global_gbm,7,2024-02-11,42920.25,41997.93,47177.9
S01_D09,1,9,global_gbm,8,2024-02-18,37928.07,34362.53,41148.26
S01_D10,1,10,holt_winters,1,2023-12-31,9898.83,8458.57,11339.1
S01_D10,1,10,holt_winters,2,2024-01-07,10119.89,8679.63,11560.16
S01_D10,1,10,holt_winters,3,2024-01-14,10024.13,8583.87,11464.4
S01_D10,1,10,holt_winters,4,2024-01-21,16632.1,15191.83,18072.36
S01_D10,1,10,holt_winters,5,2024-01-28,10994.44,9554.17,12434.71
S01_D10,1,10,holt_winters,6,2024-02-04,13967.35,12527.08,15407.61
S01_D10,1,10,holt_winters,7,2024-02-11,11673.25,10232.98,13113.52
S01_D10,1,10,holt_winters,8,2024-02-18,10644.65,9204.38,12084.91
S01_D11,1,11,global_gbm,1,2023-12-31,63506.76,39665.95,63506.76
S01_D11,1,11,global_gbm,2,2024-01-07,39787.96,34139.2,46181.11
S01_D11,1,11,global_gbm,3,2024-01-14,38191.74,34296.71,40126.22
S01_D11,1,11,global_gbm,4,2024-01-21,40374.29,35512.81,41820.03
S01_D11,1,11,global_gbm,5,2024-01-28,39463.79,36274.6,42364.29
S01_D11,1,11,global_gbm,6,2024-02-04,51255.08,47467.22,56979.86
S01_D11,1,11,global_gbm,7,2024-02-11,54976.54,51149.16,59480.25
S01_D11,1,11,global_gbm,8,2024-02-18,42468.66,36909.82,50518.2
S01_D12,1,12,seasonal_naive,1,2023-12-31,14758.84,10461.36,19056.32
S01_D12,1,12,seasonal_naive,2,2024-01-07,15541.69,11244.21,19839.17
S01_D12,1,12,seasonal_naive,3,2024-01-14,14955.5,10658.02,19252.98
S01_D12,1,12,seasonal_naive,4,2024-01-21,16045.95,11748.47,20343.43
S01_D12,1,12,seasonal_naive,5,2024-01-28,15297.73,11000.25,19595.21
S01_D12,1,12,seasonal_naive,6,2024-02-04,17954.14,13656.66,22251.62
S01_D12,1,12,seasonal_naive,7,2024-02-11,18748.06,14450.58,23045.54
S01_D12,1,12,seasonal_naive,8,2024-02-18,16739.61,12442.13,21037.09
S02_D01,2,1,seasonal_naive,1,2023-12-31,52726.85,48752.09,56701.61
S02_D01,2,1,seasonal_naive,2,2024-01-07,49781.61,45806.85,53756.37
S02_D01,2,1,seasonal_naive,3,2024-01-14,48549.28,44574.52,52524.04
S02_D01,2,1,seasonal_naive,4,2024-01-21,44602.59,40627.83,48577.35
S02_D01,2,1,seasonal_naive,5,2024-01-28,40586.72,36611.96,44561.48
S02_D01,2,1,seasonal_naive,6,2024-02-04,54706.38,50731.62,58681.14
S02_D01,2,1,seasonal_naive,7,2024-02-11,52202.28,48227.52,56177.04
S02_D01,2,1,seasonal_naive,8,2024-02-18,39946.24,35971.48,43921.0
S02_D02,2,2,global_gbm,1,2023-12-31,131456.04,89395.66,131456.04
S02_D02,2,2,global_gbm,2,2024-01-07,86873.51,74841.7,94001.32
S02_D02,2,2,global_gbm,3,2024-01-14,80185.87,76684.17,91564.83
S02_D02,2,2,global_gbm,4,2024-01-21,77886.5,76331.74,92135.45
S02_D02,2,2,global_gbm,5,2024-01-28,75148.05,70464.55,86833.03
S02_D02,2,2,global_gbm,6,2024-02-04,113656.72,105166.66,122812.08
S02_D02,2,2,global_gbm,7,2024-02-11,124749.26,114231.54,149204.17
S02_D02,2,2,global_gbm,8,2024-02-18,90004.6,76823.84,95382.75
S02_D03,2,3,seasonal_naive,1,2023-12-31,93520.79,66419.64,120621.94
S02_D03,2,3,seasonal_naive,2,2024-01-07,89402.09,62300.94,116503.24
S02_D03,2,3,seasonal_naive,3,2024-01-14,86590.59,59489.44,113691.74
S02_D03,2,3,seasonal_naive,4,2024-01-21,82440.75,55339.6,109541.9
S02_D03,2,3,seasonal_naive,5,2024-01-28,79536.46,52435.31,106637.61
S02_D03,2,3,seasonal_naive,6,2024-02-04,105416.4,78315.25,132517.55
S02_D03,2,3,seasonal_naive,7,2024-02-11,111546.57,84445.42,138647.72
S02_D03,2,3,seasonal_naive,8,2024-02-18,80299.95,53198.8,107401.1
S02_D04,2,4,seasonal_naive,1,2023-12-31,23254.24,21144.75,25363.73
S02_D04,2,4,seasonal_naive,2,2024-01-07,22607.82,20498.33,24717.31
S02_D04,2,4,seasonal_naive,3,2024-01-14,26443.51,24334.02,28553.0
S02_D04,2,4,seasonal_naive,4,2024-01-21,24362.41,22252.92,26471.9
S02_D04,2,4,seasonal_naive,5,2024-01-28,25363.26,23253.77,27472.75
S02_D04,2,4,seasonal_naive,6,2024-02-04,24772.8,22663.31,26882.29
S02_D04,2,4,seasonal_naive,7,2024-02-11,23266.04,21156.55,25375.53
S02_D04,2,4,seasonal_naive,8,2024-02-18,22966.02,20856.53,25075.51
S02_D05,2,5,seasonal_naive,1,2023-12-31,50069.93,45690.26,54449.6
S02_D05,2,5,seasonal_naive,2,2024-01-07,54138.19,49758.52,58517.86
S02_D05,2,5,seasonal_naive,3,2024-01-14,48347.09,43967.42,52726.76
S02_D05,2,5,seasonal_naive,4,2024-01-21,55949.81,51570.14,60329.48
S02_D05,2,5,seasonal_naive,5,2024-01-28,51966.12,47586.45,56345.79
S02_D05,2,5,seasonal_naive,6,2024-02-04,67200.16,62820.49,71579.83
S02_D05,2,5,seasonal_naive,7,2024-02-11,68372.23,63992.56,72751.9
S02_D05,2,5,seasonal_naive,8,2024-02-18,52143.35,47763.68,56523.02
S02_D06,2,6,seasonal_naive,1,2023-12-31,77752.66,69461.07,86044.25
S02_D06,2,6,seasonal_naive,2,2024-01-07,70061.38,61769.79,78352.97
S02_D06,2,6,seasonal_naive,3,2024-01-14,74478.08,66186.49,82769.67
S02_D06,2,6,seasonal_naive,4,2024-01-21,69688.66,61397.07,77980.25
S02_D06,2,6,seasonal_naive,5,2024-01-28,77615.79,69324.2,85907.38
S02_D06,2,6,seasonal_naive,6,2024-02-04,102979.0,94687.41,111270.59
S02_D06,2,6,seasonal_naive,7,2024-02-11,89284.61,80993.02,97576.2
S02_D06,2,6,seasonal_naive,8,2024-02-18,82729.39,74437.8,91020.98
S02_D07,2,7,seasonal_naive,1,2023-12-31,84383.59,78042.65,90724.53
S02_D07,2,7,seasonal_naive,2,2024-01-07,87661.0,81320.06,94001.94
S02_D07,2,7,seasonal_naive,3,2024-01-14,89540.88,83199.94,95881.82
S02_D07,2,7,seasonal_naive,4,2024-01-21,82069.32,75728.38,88410.26
S02_D07,2,7,seasonal_naive,5,2024-01-28,85053.72,78712.78,91394.66
S02_D07,2,7,seasonal_naive,6,2024-02-04,94923.03,88582.09,101263.97
S02_D07,2,7,seasonal_naive,7,2024-02-11,91452.69,85111.75,97793.63
S02_D07,2,7,seasonal_naive,8,2024-02-18,84640.81,78299.87,90981.75
S02_D08,2,8,seasonal_naive,1,2023-12-31,17565.28,16006.66,19123.9
S02_D08,2,8,seasonal_naive,2,2024-01-07,19362.69,17804.07,20921.31
S02_D08,2,8,seasonal_naive,3,2024-01-14,18419.07,16860.45,19977.69
S02_D08,2,8,seasonal_naive,4,2024-01-21,20209.93,18651.31,21768.55
S02_D08,2,8,seasonal_naive,5,2024-01-28,17898.54,16339.92,19457.16
S02_D08,2,8,seasonal_naive,6,2024-02-04,20771.28,19212.66,22329.9
S02_D08,2,8,seasonal_naive,7,2024-02-11,19657.89,18099.27,21216.51
S02_D08,2,8,seasonal_naive,8,2024-02-18,16896.55,15337.93,18455.17
S02_D09,2,9,seasonal_naive,1,2023-12-31,60875.9,55190.97,66560.83
S02_D09,2,9,seasonal_naive,2,2024-01-07,55268.86,49583.93,60953.79
S02_D09,2,9,seasonal_naive,3,2024-01-14,57757.1,52072.17,63442.03
S02_D09,2,9,seasonal_naive,4,2024-01-21,61092.69,55407.76,66777.62
S02_D09,2,9,seasonal_naive,5,2024-01-28,51065.48,45380.55,56750.41
S02_D09,2,9,seasonal_naive,6,2024-02-04,57810.29,52125.36,63495.22
S02_D09,2,9,seasonal_naive,7,2024-02-11,54548.57,48863.64,60233.5
S02_D09,2,9,seasonal_naive,8,2024-02-18,51007.62,45322.69,56692.55
S02_D10,2,10,seasonal_naive,1,2023-12-31,16165.99,13839.92,18492.06
S02_D10,2,10,seasonal_naive,2,2024-01-07,16627.59,14301.52,18953.66
S02_D10,2,10,seasonal_naive,3,2024-01-14,17780.84,15454.77,20106.91
S02_D10,2,10,seasonal_naive,4,2024-01-21,16943.73,14617.66,19269.8
S02_D10,2,10,seasonal_naive,5,2024-01-28,17556.16,15230.09,19882.23
S02_D10,2,10,seasonal_naive,6,2024-02-04,22864.54,20538.47,25190.61
S02_D10,2,10,seasonal_naive,7,2024-02-11,22056.1,19730.03,24382.17
S02_D10,2,10,seasonal_naive,8,2024-02-18,16443.26,14117.19,18769.33
S02_D11,2,11,global_gbm,1,2023-12-31,86415.56,60274.09,88947.8
S02_D11,2,11,global_gbm,2,2024-01-07,67005.06,61393.86,74331.72
S02_D11,2,11,global_gbm,3,2024-01-14,69085.01,63769.23,72669.46
S02_D11,2,11,global_gbm,4,2024-01-21,69754.6,66320.84,77813.04
S02_D11,2,11,global_gbm,5,2024-01-28,64953.57,57990.0,70652.48
S02_D11,2,11,global_gbm,6,2024-02-04,89148.62,75208.12,94392.64
S02_D11,2,11,global_gbm,7,2024-02-11,92541.35,80291.3,103165.38
S02_D11,2,11,global_gbm,8,2024-02-18,77736.95,69725.44,85736.73
S02_D12,2,12,seasonal_naive,1,2023-12-31,26655.25,23892.57,29417.93
S02_D12,2,12,seasonal_naive,2,2024-01-07,26458.79,23696.11,29221.47
S02_D12,2,12,seasonal_naive,3,2024-01-14,23306.97,20544.29,26069.65
S02_D12,2,12,seasonal_naive,4,2024-01-21,27484.72,24722.04,30247.4
S02_D12,2,12,seasonal_naive,5,2024-01-28,25320.65,22557.97,28083.33
S02_D12,2,12,seasonal_naive,6,2024-02-04,32392.51,29629.83,35155.19
S02_D12,2,12,seasonal_naive,7,2024-02-11,32442.73,29680.05,35205.41
S02_D12,2,12,seasonal_naive,8,2024-02-18,26340.13,23577.45,29102.81
S03_D01,3,1,global_gbm,1,2023-12-31,53988.34,38210.14,61200.52
S03_D01,3,1,global_gbm,2,2024-01-07,36209.92,31551.78,44250.34
S03_D01,3,1,global_gbm,3,2024-01-14,35764.32,32841.17,37328.91
S03_D01,3,1,global_gbm,4,2024-01-21,35938.86,33491.57,37849.16
S03_D01,3,1,global_gbm,5,2024-01-28,35316.21,34288.69,38179.03
S03_D01,3,1,global_gbm,6,2024-02-04,43557.5,41880.93,48008.46
S03_D01,3,1,global_gbm,7,2024-02-11,46982.97,45005.33,53112.69
S03_D01,3,1,global_gbm,8,2024-02-18,38384.51,34638.11,44769.73
S03_D02,3,2,global_gbm,1,2023-12-31,91165.85,68205.86,100846.27
S03_D02,3,2,global_gbm,2,2024-01-07,67924.68,59759.28,67924.68
S03_D02,3,2,global_gbm,3,2024-01-14,63918.12,58696.73,66820.96
S03_D02,3,2,global_gbm,4,2024-01-21,64962.23,58714.05,66678.77
S03_D02,3,2,global_gbm,5,2024-01-28,64074.13,60400.68,67484.47
S03_D02,3,2,global_gbm,6,2024-02-04,87615.11,78535.28,98171.41
S03_D02,3,2,global_gbm,7,2024-02-11,89025.57,70087.3,94926.15
S03_D02,3,2,global_gbm,8,2024-02-18,68311.02,61140.28,73537.76
S03_D03,3,3,global_gbm,1,2023-12-31,108370.89,81342.66,112791.9
S03_D03,3,3,global_gbm,2,2024-01-07,77612.54,64385.02,77612.54
S03_D03,3,3,global_gbm,3,2024-01-14,77804.09,66942.26,77804.09
S03_D03,3,3,global_gbm,4,2024-01-21,75405.45,65870.81,75405.45
S03_D03,3,3,global_gbm,5,2024-01-28,69437.99,64093.89,75215.57
S03_D03,3,3,global_gbm,6,2024-02-04,100339.43,81621.76,109408.14
S03_D03,3,3,global_gbm,7,2024-02-11,100981.62,84949.03,110834.36
S03_D03,3,3,global_gbm,8,2024-02-18,77736.14,67303.15,79176.12
S03_D04,3,4,global_gbm,1,2023-12-31,20001.53,19101.16,23580.19
S03_D04,3,4,global_gbm,2,2024-01-07,18966.75,17925.72,21155.5
S03_D04,3,4,global_gbm,3,2024-01-14,19067.93,17945.94,20755.95
S03_D04,3,4,global_gbm,4,2024-01-21,18078.03,17288.87,20429.18
S03_D04,3,4,global_gbm,5,2024-01-28,18386.26,17319.95,20038.44
S03_D04,3,4,global_gbm,6,2024-02-04,19934.32,18512.15,21657.78
S03_D04,3,4,global_gbm,7,2024-02-11,19256.59,18247.39,21658.72
S03_D04,3,4,global_gbm,8,2024-02-18,18788.4,17143.8,20658.43
S03_D05,3,5,global_gbm,1,2023-12-31,64782.69,44511.7,64793.77
S03_D05,3,5,global_gbm,2,2024-01-07,50405.95,41452.13,53075.76
S03_D05,3,5,global_gbm,3,2024-01-14,48415.71,42900.94,50096.09
S03_D05,3,5,global_gbm,4,2024-01-21,49336.96,43441.74,50604.28
S03_D05,3,5,global_gbm,5,2024-01-28,47800.24,41932.69,51136.56
S03_D05,3,5,global_gbm,6,2024-02-04,56885.99,50079.66,60506.85
S03_D05,3,5,global_gbm,7,2024-02-11,56744.41,50132.66,62895.87
S03_D05,3,5,global_gbm,8,2024-02-18,49906.2,44081.43,56323.9
S03_D06,3,6,global_gbm,1,2023-12-31,82312.44,63392.96,95022.91
S03_D06,3,6,global_gbm,2,2024-01-07,66361.13,60161.71,66361.13
S03_D06,3,6,global_gbm,3,2024-01-14,65887.12,62270.93,67675.68
S03_D06,3,6,global_gbm,4,2024-01-21,63984.64,61076.81,68425.14
S03_D06,3,6,global_gbm,5,2024-01-28,68571.13,60703.48,68571.13
S03_D06,3,6,global_gbm,6,2024-02-04,78132.51,69296.39,83797.57
S03_D06,3,6,global_gbm,7,2024-02-11,84843.9,75233.76,94385.07
S03_D06,3,6,global_gbm,8,2024-02-18,71932.86,60711.65,73842.0
S03_D07,3,7,global_gbm,1,2023-12-31,86673.47,71977.23,91521.58
S03_D07,3,7,global_gbm,2,2024-01-07,79418.5,67862.52,79418.5
S03_D07,3,7,global_gbm,3,2024-01-14,75774.27,68020.3,77797.08
S03_D07,3,7,global_gbm,4,2024-01-21,71341.66,66634.1,72164.54
S03_D07,3,7,global_gbm,5,2024-01-28,67809.85,63618.69,69979.71
S03_D07,3,7,global_gbm,6,2024-02-04,75882.8,68912.98,80622.54
S03_D07,3,7,global_gbm,7,2024-02-11,77578.27,71642.64,83453.48
S03_D07,3,7,global_gbm,8,2024-02-18,71920.37,63301.7,76019.08
S03_D08,3,8,seasonal_naive,1,2023-12-31,14922.39,13338.49,16506.29
S03_D08,3,8,seasonal_naive,2,2024-01-07,14247.87,12663.97,15831.77
S03_D08,3,8,seasonal_naive,3,2024-01-14,15710.73,14126.83,17294.63
S03_D08,3,8,seasonal_naive,4,2024-01-21,14911.78,13327.88,16495.68
S03_D08,3,8,seasonal_naive,5,2024-01-28,15202.85,13618.95,16786.75
S03_D08,3,8,seasonal_naive,6,2024-02-04,19009.57,17425.67,20593.47
S03_D08,3,8,seasonal_naive,7,2024-02-11,18067.08,16483.18,19650.98
S03_D08,3,8,seasonal_naive,8,2024-02-18,14310.66,12726.76,15894.56
S03_D09,3,9,seasonal_naive,1,2023-12-31,40501.04,36362.88,44639.2
S03_D09,3,9,seasonal_naive,2,2024-01-07,46871.89,42733.73,51010.05
S03_D09,3,9,seasonal_naive,3,2024-01-14,40525.56,36387.4,44663.72
S03_D09,3,9,seasonal_naive,4,2024-01-21,43449.34,39311.18,47587.5
S03_D09,3,9,seasonal_naive,5,2024-01-28,44116.84,39978.68,48255.0
S03_D09,3,9,seasonal_naive,6,2024-02-04,45095.34,40957.18,49233.5
S03_D09,3,9,seasonal_naive,7,2024-02-11,46626.66,42488.5,50764.82
S03_D09,3,9,seasonal_naive,8,2024-02-18,38782.37,34644.21,42920.53
S03_D10,3,10,global_gbm,1,2023-12-31,22808.15,18037.87,27011.31
S03_D10,3,10,global_gbm,2,2024-01-07,17803.85,14139.37,21229.74
S03_D10,3,10,global_gbm,3,2024-01-14,16210.39,14858.01,17662.81
S03_D10,3,10,global_gbm,4,2024-01-21,16838.5,15744.72,17731.97
S03_D10,3,10,global_gbm,5,2024-01-28,16446.11,15308.97,18156.01
S03_D10,3,10,global_gbm,6,2024-02-04,20398.19,18763.74,20918.23
S03_D10,3,10,global_gbm,7,2024-02-11,20803.37,19286.38,21299.83
S03_D10,3,10,global_gbm,8,2024-02-18,18014.16,15770.33,20358.81
S03_D11,3,11,global_gbm,1,2023-12-31,77144.63,52706.27,77144.63
S03_D11,3,11,global_gbm,2,2024-01-07,52147.29,46441.68,57104.53
S03_D11,3,11,global_gbm,3,2024-01-14,51185.8,48305.75,55622.99
S03_D11,3,11,global_gbm,4,2024-01-21,51608.27,45496.19,52413.72
S03_D11,3,11,global_gbm,5,2024-01-28,50472.51,49634.27,55793.31
S03_D11,3,11,global_gbm,6,2024-02-04,74957.17,63405.45,79402.8
S03_D11,3,11,global_gbm,7,2024-02-11,75427.29,70164.35,84845.04
S03_D11,3,11,global_gbm,8,2024-02-18,59489.68,50448.43,66261.96
S03_D12,3,12,seasonal_naive,1,2023-12-31,20228.41,17989.65,22467.17
S03_D12,3,12,seasonal_naive,2,2024-01-07,17876.22,15637.46,20114.98
S03_D12,3,12,seasonal_naive,3,2024-01-14,19786.29,17547.53,22025.05
S03_D12,3,12,seasonal_naive,4,2024-01-21,24360.94,22122.18,26599.7
S03_D12,3,12,seasonal_naive,5,2024-01-28,21848.57,19609.81,24087.33
S03_D12,3,12,seasonal_naive,6,2024-02-04,31083.67,28844.91,33322.43
S03_D12,3,12,seasonal_naive,7,2024-02-11,31519.7,29280.94,33758.46
S03_D12,3,12,seasonal_naive,8,2024-02-18,22140.27,19901.51,24379.03
S04_D01,4,1,seasonal_naive,1,2023-12-31,36093.92,31895.05,40292.79
S04_D01,4,1,seasonal_naive,2,2024-01-07,36610.41,32411.54,40809.28
S04_D01,4,1,seasonal_naive,3,2024-01-14,37605.65,33406.78,41804.52
S04_D01,4,1,seasonal_naive,4,2024-01-21,35805.8,31606.93,40004.67
S04_D01,4,1,seasonal_naive,5,2024-01-28,34533.19,30334.32,38732.06
S04_D01,4,1,seasonal_naive,6,2024-02-04,47519.56,43320.69,51718.43
S04_D01,4,1,seasonal_naive,7,2024-02-11,46426.68,42227.81,50625.55
S04_D01,4,1,seasonal_naive,8,2024-02-18,35180.78,30981.91,39379.65
S04_D02,4,2,global_gbm,1,2023-12-31,90214.17,71772.14,105853.56
S04_D02,4,2,global_gbm,2,2024-01-07,67359.06,61438.13,71291.93
S04_D02,4,2,global_gbm,3,2024-01-14,64232.57,61148.84,70289.18
S04_D02,4,2,global_gbm,4,2024-01-21,66993.88,63192.52,72724.33
S04_D02,4,2,global_gbm,5,2024-01-28,64637.14,59980.14,71573.85
S04_D02,4,2,global_gbm,6,2024-02-04,92274.03,82245.04,103738.02
S04_D02,4,2,global_gbm,7,2024-02-11,102066.69,92405.9,113859.7
S04_D02,4,2,global_gbm,8,2024-02-18,75226.22,66261.71,81751.17
S04_D03,4,3,global_gbm,1,2023-12-31,114889.45,78979.18,115940.6
S04_D03,4,3,global_gbm,2,2024-01-07,88221.91,75145.19,90671.03
S04_D03,4,3,global_gbm,3,2024-01-14,83527.64,79216.03,92424.29
S04_D03,4,3,global_gbm,4,2024-01-21,87605.17,75718.39,87605.17
S04_D03,4,3,global_gbm,5,2024-01-28,81774.19,71722.0,87367.46
S04_D03,4,3,global_gbm,6,2024-02-04,110907.59,95044.5,120717.83
S04_D03,4,3,global_gbm,7,2024-02-11,120186.36,97364.23,131743.81
S04_D03,4,3,global_gbm,8,2024-02-18,95900.0,79862.51,95900.0
S04_D04,4,4,seasonal_naive,1,2023-12-31,20760.42,14251.53,27269.31
S04_D04,4,4,seasonal_naive,2,2024-01-07,21371.93,14863.04,27880.82
S04_D04,4,4,seasonal_naive,3,2024-01-14,19033.15,12524.26,25542.04
S04_D04,4,4,seasonal_naive,4,2024-01-21,20487.59,13978.7,26996.48
S04_D04,4,4,seasonal_naive,5,2024-01-28,21001.14,14492.25,27510.03
S04_D04,4,4,seasonal_naive,6,2024-02-04,20250.11,13741.22,26759.0
S04_D04,4,4,seasonal_naive,7,2024-02-11,20501.6,13992.71,27010.49
S04_D04,4,4,seasonal_naive,8,2024-02-18,20740.18,14231.29,27249.07
S04_D05,4,5,seasonal_naive,1,2023-12-31,46561.01,41812.95,51309.07
S04_D05,4,5,seasonal_naive,2,2024-01-07,49730.97,44982.91,54479.03
S04_D05,4,5,seasonal_naive,3,2024-01-14,44342.9,39594.84,49090.96
S04_D05,4,5,seasonal_naive,4,2024-01-21,44396.65,39648.59,49144.71
S04_D05,4,5,seasonal_naive,5,2024-01-28,45486.69,40738.63,50234.75
S04_D05,4,5,seasonal_naive,6,2024-02-04,59104.77,54356.71,63852.83
S04_D05,4,5,seasonal_naive,7,2024-02-11,55765.02,51016.96,60513.08
S04_D05,4,5,seasonal_naive,8,2024-02-18,52524.85,47776.79,57272.91
S04_D06,4,6,global_gbm,1,2023-12-31,88121.09,72631.4,107542.14
S04_D06,4,6,global_gbm,2,2024-01-07,71279.38,62994.76,74958.34
S04_D06,4,6,global_gbm,3,2024-01-14,67416.75,64430.98,74568.35
S04_D06,4,6,global_gbm,4,2024-01-21,73387.48,68040.74,76295.12
S04_D06,4,6,global_gbm,5,2024-01-28,70002.6,66280.99,76194.21
S04_D06,4,6,global_gbm,6,2024-02-04,91770.5,83376.3,104700.83
S04_D06,4,6,global_gbm,7,2024-02-11,97192.74,85583.4,109907.47
S04_D06,4,6,global_gbm,8,2024-02-18,73436.09,67089.1,81884.75
S04_D07,4,7,global_gbm,1,2023-12-31,98702.75,96991.96,112587.29
S04_D07,4,7,global_gbm,2,2024-01-07,81600.83,81600.83,95681.91
S04_D07,4,7,global_gbm,3,2024-01-14,77043.15,77043.15,95953.77
