Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
2021-05-30,77.5,2.884,221.273,6.04,False
2021-06-06,85.6,2.831,221.367,6.05,False
2021-06-13,74.6,2.777,221.469,5.99,False
2021-06-20,81.4,2.72,221.557,5.97,False
2021-06-27,82.0,2.661,221.646,6.02,False
2021-07-04,87.3,2.6,221.72,5.95,False
2021-07-11,78.1,2.539,221.803,5.94,False
2021-07-18,76.8,2.48,221.887,5.93,False
2021-07-25,79.5,2.424,221.976,6.11,False
2021-08-01,81.0,2.368,222.077,5.91,False
2021-08-08,71.3,2.317,222.181,6.03,False
2021-08-15,71.9,2.27,222.285,5.99,False
2021-08-22,63.9,2.226,222.378,6.04,False
2021-08-29,69.5,2.188,222.484,6.01,False
2021-09-05,61.6,2.158,222.573,5.97,True
2021-09-12,67.8,2.133,222.663,5.97,True
2021-09-19,55.3,2.114,222.738,6.01,False
2021-09-26,53.1,2.103,222.82,5.93,False
2021-10-03,61.7,2.099,222.897,5.98,False
2021-10-10,48.4,2.102,222.99,5.97,False
2021-10-17,45.0,2.113,223.094,6.03,False
2021-10-24,39.9,2.131,223.188,6.04,False
2021-10-31,38.8,2.155,223.296,5.99,False
2021-11-07,42.3,2.186,223.392,6.02,False
2021-11-14,39.5,2.223,223.495,6.21,False
2021-11-21,34.5,2.266,223.584,6.14,False
2021-11-28,29.3,2.315,223.666,6.07,True
2021-12-05,31.4,2.366,223.739,6.06,True
2021-12-12,26.3,2.42,223.832,6.07,False
2021-12-19,29.1,2.477,223.932,6.05,True
2021-12-26,30.8,2.535,224.031,6.15,True
2022-01-02,35.3,2.595,224.131,6.04,False
2022-01-09,30.1,2.655,224.232,5.98,False
2022-01-16,30.1,2.715,224.308,5.95,False
2022-01-23,30.2,2.773,224.395,5.97,False
2022-01-30,33.8,2.829,224.481,5.95,False
2022-02-06,33.5,2.881,224.587,6.08,True
2022-02-13,38.7,2.927,224.676,6.18,True
2022-02-20,40.1,2.969,224.756,6.1,False
2022-02-27,38.9,3.008,224.85,6.2,False
2022-03-06,35.9,3.038,224.945,5.94,False
2022-03-13,52.1,3.062,225.027,5.98,False
2022-03-20,55.8,3.08,225.106,6.03,False
2022-03-27,63.9,3.093,225.188,5.99,False
2022-04-03,61.4,3.097,225.286,5.89,False
2022-04-10,55.5,3.094,225.378,6.06,False
2022-04-17,70.9,3.081,225.464,6.06,False
2022-04-24,71.4,3.064,225.56,6.15,False
2022-05-01,72.2,3.04,225.669,5.96,False
2022-05-08,66.0,3.008,225.772,5.96,False
2022-05-15,72.7,2.97,225.863,6.03,False
2022-05-22,74.2,2.926,225.934,6.1,False
2022-05-29,76.0,2.879,226.021,6.0,False
2022-06-05,83.0,2.829,226.109,5.94,False
2022-06-12,76.8,2.773,226.197,5.98,False
2022-06-19,74.7,2.715,226.294,5.93,False
2022-06-26,74.6,2.657,226.381,5.98,False
2022-07-03,87.9,2.597,226.473,6.0,False
2022-07-10,81.1,2.538,226.561,6.0,False
2022-07-17,73.3,2.478,226.651,5.88,False
2022-07-24,75.1,2.421,226.745,5.99,False
2022-07-31,73.6,2.365,226.832,6.04,False
2022-08-07,75.6,2.313,226.924,5.95,False
2022-08-14,70.7,2.266,227.009,5.95,False
2022-08-21,70.8,2.223,227.099,6.05,False
2022-08-28,66.8,2.187,227.202,6.03,False
2022-09-04,56.4,2.155,227.284,6.14,True
2022-09-11,67.0,2.13,227.378,6.08,True
2022-09-18,51.8,2.111,227.476,5.94,False
2022-09-25,58.9,2.098,227.568,6.04,False
2022-10-02,56.1,2.094,227.658,5.91,False
2022-10-09,48.9,2.096,227.751,6.05,False
2022-10-16,46.7,2.107,227.843,5.91,False
2022-10-23,44.8,2.125,227.936,5.93,False
2022-10-30,39.4,2.149,228.016,6.08,False
2022-11-06,33.9,2.181,228.11,6.08,False
2022-11-13,34.1,2.22,228.197,6.02,False
2022-11-20,29.1,2.263,228.272,5.94,False
2022-11-27,35.2,2.311,228.354,6.12,True
2022-12-04,28.1,2.364,228.456,6.09,True
2022-12-11,31.0,2.418,228.557,6.04,False
2022-12-18,31.3,2.476,228.646,6.04,False
2022-12-25,28.3,2.534,228.738,6.02,True
2023-01-01,31.4,2.595,228.833,6.1,False
2023-01-08,34.9,2.653,228.927,6.1,False
2023-01-15,31.2,2.713,229.037,6.03,False
2023-01-22,29.3,2.771,229.11,5.98,False
2023-01-29,28.1,2.827,229.202,5.96,False
2023-02-05,38.0,2.879,229.291,6.17,True
2023-02-12,38.9,2.925,229.371,5.99,True
2023-02-19,36.8,2.968,229.448,6.02,False
2023-02-26,51.6,3.005,229.548,6.09,False
2023-03-05,52.0,3.037,229.634,6.17,False
2023-03-12,50.1,3.062,229.72,6.16,False
2023-03-19,57.5,3.081,229.808,6.05,False
2023-03-26,53.9,3.093,229.893,6.05,False
2023-04-02,60.2,3.098,229.983,5.93,False
2023-04-09,63.9,3.095,230.056,6.11,False
2023-04-16,64.7,3.084,230.152,6.05,False
2023-04-23,70.5,3.066,230.248,6.02,False
2023-04-30,60.9,3.042,230.343,6.17,False
2023-05-07,69.9,3.01,230.42,6.01,False
2023-05-14,73.9,2.973,230.505,6.08,False
2023-05-21,76.8,2.929,230.583,6.11,False
2023-05-28,79.3,2.882,230.693,5.98,False
2023-06-04,79.3,2.83,230.793,5.89,False
2023-06-11,81.0,2.776,230.898,6.02,False
2023-06-18,81.9,2.719,230.97,5.92,False
2023-06-25,76.0,2.661,231.059,6.05,False
2023-07-02,80.6,2.601,231.16,5.99,False
2023-07-09,87.8,2.539,231.247,5.87,False
2023-07-16,79.8,2.479,231.336,5.94,False
2023-07-23,73.9,2.421,231.425,5.92,False
2023-07-30,77.1,2.364,231.509,6.03,False
2023-08-06,70.6,2.312,231.606,5.89,False
2023-08-13,74.2,2.265,231.696,6.14,False
2023-08-20,66.2,2.221,231.789,5.97,False
2023-08-27,68.2,2.185,231.884,6.02,False
2023-09-03,61.4,2.153,231.976,5.97,False
2023-09-10,68.8,2.13,232.059,5.99,True
2023-09-17,66.3,2.111,232.162,5.98,False
2023-09-24,51.8,2.101,232.262,6.09,False
2023-10-01,53.0,2.098,232.359,5.84,False
2023-10-08,47.4,2.1,232.447,6.06,False
2023-10-15,44.7,2.111,232.551,5.88,False
2023-10-22,46.5,2.127,232.636,6.06,False
2023-10-29,42.1,2.153,232.733,6.01,False
2023-11-05,41.1,2.183,232.815,6.08,False
2023-11-12,31.1,2.221,232.904,6.09,False
2023-11-19,36.4,2.264,232.994,6.1,False
2023-11-26,32.7,2.31,233.083,5.95,True
2023-12-03,29.4,2.361,233.184,6.03,True
2023-12-10,31.3,2.416,233.275,6.0,False
2023-12-17,33.0,2.474,233.357,6.04,False
2023-12-24,29.7,2.532,233.444,6.08,True
